area	bbox_area	convex_area	solidity	perimeter	euler_number	centroid_0	centroid_1	eccentricity	equivalent_diameter	feret_diameter_max	major_axis_length	minor_axis_length	orientation	mean_intensity	max_intensity	total_area	entropy	obj_intensity_sum	total_intensity_sum	distance_bin_0	distance_bin_1	distance_bin_2	distance_bin_3	distance_bin_4	distance_bin_5	distance_bin_6	distance_bin_7	distance_bin_8	distance_bin_9	patchID	patchsize	object_size	celltype
505	728	536	0.942164179	86.91168825	1	39.39009901	39.57821782	0.163967549	25.35716802	28.44292531	25.6494509	25.30230439	-0.124722631	114.2237624	164	505	6.129303308	57683	210353	5895	106	89	80	70	60	46	34	20	0	0	80	4.5	4.5um
619	924	691	0.895803184	108.6396103	0	30.54765751	33.26817447	0.430560566	28.07374713	33.95585369	29.76071565	26.86088173	-1.451454097	75.48949919	131	859	5.412098145	63404	133706	5541	192	148	129	111	94	75	55	33	22	1	80	4.5	4.5um
618	896	667	0.926536732	100.01829	1	39.57443366	39.74110032	0.516403901	28.05106127	32.14031736	30.43372758	26.06177492	-1.140458333	87.24595469	146	618	5.02349206	53918	119718	5782	124	103	89	79	66	58	46	33	20	2	80	4.5	4.5um
592	841	648	0.913580247	99.08326112	1	39.69425676	40.31925676	0.373534579	27.45465007	30.08321791	28.61524199	26.54396363	-1.422628854	72.57263514	118	592	4.841891903	42963	95810	5808	119	99	87	77	66	56	42	27	19	3	80	4.5	4.5um
518	702	544	0.952205882	86.42640687	1	39.74131274	40.16216216	0.296387802	25.68147356	27.89265136	26.32699782	25.1440647	-1.095304548	130.7297297	199	518	4.97493052	67718	134688	5882	104	94	81	70	60	48	33	28	0	4	80	4.5	4.5um
597	868	650	0.918461538	103.3259018	1	39.9681742	39.92294807	0.388883901	27.57034654	31.78049716	28.89604292	26.62154204	-1.3342363	78.63316583	126	625	5.024986789	48476	114320	5775	141	110	90	82	69	55	40	26	12	5	80	4.5	4.5um
487	650	506	0.962450593	81.254834	1	39.87474333	39.73511294	0.189808275	24.90115777	26.68332813	25.15299018	24.69573836	-0.160059129	125.0492813	190	487	5.350833993	60899	144874	5913	98	88	79	69	56	45	31	21	0	6	80	4.5	4.5um
549	783	583	0.941680961	89.08326112	1	42.47358834	42.40801457	0.349371167	26.43876907	29.83286778	27.36908403	25.6444051	-1.071304576	106.2750455	164	748	5.46950725	80738	171127	5791	121	111	99	86	69	53	39	22	9	7	80	4.5	4.5um
645	841	699	0.922746781	105.5330086	1	39.7751938	39.61395349	0.154740335	28.65727667	31.76476035	29.00723696	28.65784988	0.345842806	70.73178295	109	645	4.807066324	45622	98213	5755	127	103	91	78	70	60	48	38	30	8	80	4.5	4.5um
557	729	582	0.957044674	87.01219331	1	40.4021544	40.13644524	0.174759459	26.63070458	28.46049894	26.84994736	26.43675775	-1.528260517	145.443447	204	557	4.701575335	81012	151887	5843	104	94	85	76	64	52	39	43	0	9	80	4.5	4.5um
545	728	592	0.920608108	94.46194078	1	39.99633028	40.40550459	0.379189306	26.34227689	29.41088234	27.51371351	25.45896513	0.262398607	106.8752294	148	548	4.765624674	58433	121634	5852	116	95	85	71	62	49	36	22	12	10	80	4.5	4.5um
571	868	613	0.931484502	93.91168825	1	40.2084063	40.31698774	0.424806284	26.96330432	31.06444913	28.4520079	25.75715539	-1.228909726	88.71278459	134	571	5.113646741	50655	121977	5829	116	96	86	75	64	51	40	27	16	11	80	4.5	4.5um
586	868	644	0.909937888	103.2903679	1	40.31228669	40.42320819	0.327398245	27.31516746	31.57530681	28.29180588	26.73254381	-0.123599601	113.6211604	173	586	6.040850088	66582	195437	5814	122	104	88	75	64	52	41	26	14	12	80	4.5	4.5um
612	812	646	0.947368421	98.49747468	1	39.65686275	40.08169935	0.284107937	27.91455895	30.23243292	28.60031353	27.42176047	1.164888516	79.19444444	126	614	4.896132906	48565	108016	5786	121	106	91	77	68	56	43	30	22	13	80	4.5	4.5um
529	728	560	0.944642857	85.84062043	1	39.60302457	39.54064272	0.313948963	25.95272084	28.28427125	26.67177737	25.32324858	-1.083249643	120.0982987	174	529	4.934241784	63532	144398	5871	103	93	84	72	59	48	37	33	0	14	80	4.5	4.5um
495	676	517	0.957446809	82.42640687	1	40.05252525	40.25656566	0.165291721	25.10485162	26.68332813	25.28850834	24.94065782	-0.3685699	135.7878788	192	495	4.684441317	67215	143581	5905	98	88	79	70	57	45	34	24	0	15	80	4.5	4.5um
537	756	575	0.933913043	92.42640687	1	40.48044693	40.20484171	0.146048345	26.14822433	28.63564213	26.38945155	26.10648944	0.044489248	133.8026071	187	537	5.634165628	71852	181692	5863	109	93	84	74	60	50	38	29	0	16	80	4.5	4.5um
493	650	515	0.957281553	82.18376618	1	40.09533469	39.95334686	0.289165158	25.05408341	26.68332813	25.63384059	24.53874301	-1.291375255	129.6592292	189	493	4.886487769	63922	128451	5907	98	89	79	68	57	44	32	26	0	17	80	4.5	4.5um
